30.0,6000.0,58.37
30.0,6250.0,36.9
30.0,6500.0,65.23
30.0,6750.0,58.69
30.0,7000.0,62.75
30.0,7250.0,46.41
30.0,7500.0,49.28
30.0,7750.0,46.84
30.0,8000.0,61.38
30.0,8250.0,46.45
31.0,6000.0,41.65
31.0,6250.0,53.83
31.0,6500.0,45.85
31.0,6750.0,56.44
31.0,7000.0,45.8
31.0,7250.0,44.1
31.0,7500.0,49.01
31.0,7750.0,40.99
31.0,8000.0,40.7
31.0,8250.0,44.66
32.0,6000.0,69.49
32.0,6250.0,60.86
32.0,6500.0,48.35
32.0,6750.0,46.16
32.0,7000.0,52.01
32.0,7250.0,39.86
32.0,7500.0,43.15
32.0,7750.0,57.28
32.0,8000.0,37.76
32.0,8250.0,42.55
33.0,6000.0,58.49
33.0,6250.0,56.54
33.0,6500.0,50.51
33.0,6750.0,43.78
33.0,7000.0,58.6
33.0,7250.0,62.09
33.0,7500.0,64.69
33.0,7750.0,47.97
33.0,8000.0,50.88
33.0,8250.0,39.52
34.0,6000.0,39.29
34.0,6250.0,58.28
34.0,6500.0,50.48
34.0,6750.0,49.16
34.0,7000.0,47.96
34.0,7250.0,57.88
34.0,7500.0,61.08
34.0,7750.0,36.75
34.0,8000.0,55.96
34.0,8250.0,63.0
35.0,6000.0,46.22
35.0,6250.0,49.97
35.0,6500.0,50.54
35.0,6750.0,60.29
35.0,7000.0,50.58
35.0,7250.0,46.27
35.0,7500.0,49.86
35.0,7750.0,65.48
35.0,8000.0,55.53
35.0,8250.0,56.99
36.0,6000.0,36.39
36.0,6250.0,49.77
36.0,6500.0,53.46
36.0,6750.0,52.99
36.0,7000.0,55.47
36.0,7250.0,61.57
36.0,7500.0,49.31
36.0,7750.0,56.0
36.0,8000.0,56.26
36.0,8250.0,34.28
37.0,6000.0,65.72
37.0,6250.0,49.28
37.0,6500.0,48.19
37.0,6750.0,54.86
37.0,7000.0,48.87
37.0,7250.0,35.47
37.0,7500.0,46.63
37.0,7750.0,55.45
37.0,8000.0,42.36
37.0,8250.0,41.83
38.0,6000.0,55.35
38.0,6250.0,51.14
38.0,6500.0,49.4
38.0,6750.0,51.8
38.0,7000.0,51.07
38.0,7250.0,53.72
38.0,7500.0,50.82
38.0,7750.0,45.97
38.0,8000.0,37.4
38.0,8250.0,50.71
39.0,6000.0,58.28
39.0,6250.0,42.53
39.0,6500.0,46.7
39.0,6750.0,48.49
39.0,7000.0,38.46
39.0,7250.0,48.91
39.0,7500.0,44.5
39.0,7750.0,49.14
39.0,8000.0,47.18
39.0,8250.0,52.13
40.0,6000.0,62.93
40.0,6250.0,63.98
40.0,6500.0,41.92
40.0,6750.0,53.29
40.0,7000.0,42.48
40.0,7250.0,71.24
40.0,7500.0,46.27
40.0,7750.0,45.21
40.0,8000.0,43.19
40.0,8250.0,30.91
41.0,6000.0,39.09
41.0,6250.0,55.47
41.0,6500.0,51.42
41.0,6750.0,42.59
41.0,7000.0,44.44
41.0,7250.0,37.03
41.0,7500.0,47.89
41.0,7750.0,47.55
41.0,8000.0,43.55
41.0,8250.0,32.99
42.0,6000.0,38.84
42.0,6250.0,54.1
42.0,6500.0,41.02
42.0,6750.0,51.73
42.0,7000.0,57.17
42.0,7250.0,47.64
42.0,7500.0,52.93
42.0,7750.0,45.06
42.0,8000.0,59.58
42.0,8250.0,39.72
43.0,6000.0,39.56
43.0,6250.0,40.83
43.0,6500.0,55.68
43.0,6750.0,39.24
